profileID,respID,qID,altID,obsID,enrollment,monthly,window,guaranteed,minimum,charger_No,charger_Yes,time_control_5pm-9am,time_control_24/7,no_choice
507,14,8,2,112,300,10,0.5,50,30,1,0,0,1,0
0,14,8,3,112,0,0,0,0,0,0,0,0,0,1
634,15,1,1,113,100,15,4,60,30,1,0,1,0,0
997,15,1,2,113,100,20,4,50,40,1,0,0,1,0
0,15,1,3,113,0,0,0,0,0,0,0,0,0,1
247,15,2,1,114,100,15,1,60,20,0,1,0,1,0
574,15,2,2,114,100,20,4,50,30,0,1,0,1,0
0,15,2,3,114,0,0,0,0,0,0,0,0,0,1
1217,15,3,1,115,200,10,4,70,40,0,1,1,0,0
867,15,3,2,115,300,10,0.5,50,40,1,0,1,0,0
0,15,3,3,115,0,0,0,0,0,0,0,0,0,1
336,15,4,1,116,300,10,2,70,20,0,1,1,0,0
568,15,4,2,116,100,10,4,50,30,0,1,0,1,0
0,15,4,3,116,0,0,0,0,0,0,0,0,0,1
959,15,5,1,117,200,15,1,50,40,1,0,0,1,0
936,15,5,2,117,300,20,4,50,40,0,1,1,0,0
0,15,5,3,117,0,0,0,0,0,0,0,0,0,1
414,15,6,1,118,300,20,2,70,20,0,1,0,1,0
316,15,6,2,118,100,10,1,70,20,0,1,1,0,0
0,15,6,3,118,0,0,0,0,0,0,0,0,0,1
1022,15,7,1,119,200,15,0.5,60,40,0,1,1,0,0
91,15,7,2,119,100,10,1,50,20,1,0,0,1,0
0,15,7,3,119,0,0,0,0,0,0,0,0,0,1
1106,15,8,1,120,200,20,1,60,40,1,0,0,1,0
481,15,8,2,120,100,15,2,50,30,0,1,1,0,0
0,15,8,3,120,0,0,0,0,0,0,0,0,0,1
1017,16,1,1,121,300,20,0.5,60,40,1,0,1,0,0
673,16,1,2,121,100,20,1,60,30,1,0,0,1,0
0,16,1,3,121,0,0,0,0,0,0,0,0,0,1
804,16,2,1,122,300,10,0.5,70,30,0,1,0,1,0
1192,16,2,2,122,100,15,2,70,40,1,0,1,0,0
0,16,2,3,122,0,0,0,0,0,0,0,0,0,1
917,16,3,1,123,200,20,2,50,40,0,1,1,0,0
1065,16,3,2,123,300,10,4,60,40,1,0,1,0,0
0,16,3,3,123,0,0,0,0,0,0,0,0,0,1
637,16,4,1,124,100,20,4,60,30,1,0,1,0,0
762,16,4,2,124,300,15,2,70,30,1,0,1,0,0
0,16,4,3,124,0,0,0,0,0,0,0,0,0,1
90,16,5,1,125,300,20,0.5,50,20,0,1,0,1,0
1049,16,5,2,125,200,15,2,60,40,1,0,1,0,0
0,16,5,3,125,0,0,0,0,0,0,0,0,0,1
182,16,6,1,126,200,10,2,60,20,1,0,1,0,0
464,16,6,2,126,200,15,1,50,30,0,1,1,0,0
0,16,6,3,126,0,0,0,0,0,0,0,0,0,1
378,16,7,1,127,300,20,0.5,70,20,0,1,0,1,0
